index,filename,class_id,class_name,batch_file,batch_row,md5
0,00000_6_frog.png,6,frog,data_batch_1,0,dda89751086497ac02ef2dec67b0394e
1,00001_9_truck.png,9,truck,data_batch_1,1,ace92cf6df755c5ae156a54d7d46ad6c
2,00002_9_truck.png,9,truck,data_batch_1,2,7d6680910a77d7e725bba24e557d57fc
3,00003_4_deer.png,4,deer,data_batch_1,3,7e9d110b1cb518680045a5934d3e9a79
4,00004_1_automobile.png,1,automobile,data_batch_1,4,9f87a1b8dd8fde6c75b3e48434dcb383
5,00005_1_automobile.png,1,automobile,data_batch_1,5,8667e521aeb23ad85b4119befcbf40e7
6,00006_2_bird.png,2,bird,data_batch_1,6,8e46d388e0f70187f3572941396189df
7,00007_7_horse.png,7,horse,data_batch_1,7,859d7d6fefd25b830dc0d561d6590244
8,00008_8_ship.png,8,ship,data_batch_1,8,e3274803052f1bde552e3c9920fcdfa4
9,00009_3_cat.png,3,cat,data_batch_1,9,d892ccb5026d0f58ed92ea28a409d969
10,00010_4_deer.png,4,deer,data_batch_1,10,b8d9e6ba08a2921936d3bd4898856ae0
11,00011_7_horse.png,7,horse,data_batch_1,11,af98a30accc78552b38e13edb44693f4
12,00012_7_horse.png,7,horse,data_batch_1,12,5a95c582807b6f3523d3aa891653502a
13,00013_2_bird.png,2,bird,data_batch_1,13,3b7f797150fa9172c0fd48d625cdc468
14,00014_9_truck.png,9,truck,data_batch_1,14,c81d0b93c569458c8cf752574ce0a4a9
15,00015_9_truck.png,9,truck,data_batch_1,15,6a57c09175bffe22cc21dc25857ff6a1
16,00016_9_truck.png,9,truck,data_batch_1,16,6661e2de5595926649e158b101a1e307
17,00017_3_cat.png,3,cat,data_batch_1,17,fbc0fa09da825fd22d41fa78d0325cdc
18,00018_2_bird.png,2,bird,data_batch_1,18,58680108d834f334e44a349e658ac854
19,00019_6_frog.png,6,frog,data_batch_1,19,9537e860115f41bdd30560959bf12a80
20,00020_4_deer.png,4,deer,data_batch_1,20,034e28ee8f4369568a08655b4aeed056
21,00021_3_cat.png,3,cat,data_batch_1,21,46bcaf2217a1ac83ae5347aeb1eb160d
22,00022_6_frog.png,6,frog,data_batch_1,22,a4f38add8eb15fab00f9c61ede35583d
23,00023_6_frog.png,6,frog,data_batch_1,23,6b5b1a75b423b8b9283fd0f225c47598
24,00024_2_bird.png,2,bird,data_batch_1,24,90aaa21727a3b3d1d67351025ff63801
25,00025_6_frog.png,6,frog,data_batch_1,25,929e65fc3fa15e69791d93360d579c0e
26,00026_3_cat.png,3,cat,data_batch_1,26,7745cb7729d95f26d308b7c9496fe1bf
27,00027_5_dog.png,5,dog,data_batch_1,27,69d2a916fa8215361fd0632ce2f3cb3e
28,00028_4_deer.png,4,deer,data_batch_1,28,aefa56b208a404625845ea014a21a716
29,00029_0_airplane.png,0,airplane,data_batch_1,29,bc51b28ace8c099904654c1aec993bc0
30,00030_0_airplane.png,0,airplane,data_batch_1,30,c37b6be5e02a2aebfe222ab6e8b5cd73
31,00031_9_truck.png,9,truck,data_batch_1,31,818dbc8e39669adde0f366d5de97e648
32,00032_1_automobile.png,1,automobile,data_batch_1,32,1cf73af42ea0b4655d4f9642b173c19d
33,00033_3_cat.png,3,cat,data_batch_1,33,606acab29b57f25045ac5aa1375a21bd
34,00034_4_deer.png,4,deer,data_batch_1,34,0a9affba3f1df1f5ae9fa78c3a90d715
35,00035_0_airplane.png,0,airplane,data_batch_1,35,1fe0cf9976c65ec041687b389ce0f30e
36,00036_3_cat.png,3,cat,data_batch_1,36,32234929509f231fe201b5b322e6d17f
37,00037_7_horse.png,7,horse,data_batch_1,37,ea9d6d591f45a2ef6977ff28a9c261da
38,00038_3_cat.png,3,cat,data_batch_1,38,ef1d242edef2a213e44091145f1633bf
39,00039_3_cat.png,3,cat,data_batch_1,39,dce8e1810eef132a2eb3270339c04053
